OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate,ProviderName
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00095126,Sample-Routine,Water,,2007-09-06,10:30:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3891,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,9.15,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00098695,Sample-Routine,Water,,2007-04-18,12:05:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3945,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,8.72,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00098703,Sample-Routine,Water,,2007-07-11,13:30:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3945,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,6.23,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00097643,Sample-Routine,Water,,2007-08-27,12:16:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_4329,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,5.59,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00096632,Sample-Routine,Water,,2007-09-24,11:45:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3934,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,7.78,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00098699,Sample-Routine,Water,,2007-05-09,14:11:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3945,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,7.55,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00095116,Sample-Routine,Water,,2007-06-18,11:43:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3891,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,8.64,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00095107,Sample-Routine,Water,,2007-04-04,10:49:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3891,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,7.96,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00096612,Sample-Routine,Water,,2007-04-24,11:25:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3934,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,8.03,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00096622,Sample-Routine,Water,,2007-08-27,11:54:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3934,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,6.75,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00097633,Sample-Routine,Water,,2007-04-24,11:45:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_4329,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,7.37,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00096607,Sample-Routine,Water,,2007-04-04,12:15:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3934,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,7.17,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00098719,Sample-Routine,Water,,2007-10-09,13:01:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3945,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,7.29,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00098709,Sample-Routine,Water,,2007-08-29,12:33:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3945,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,7.48,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00097630,Sample-Routine,Water,,2007-04-09,11:30:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_4329,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,9.41,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00097639,Sample-Routine,Water,,2007-07-11,13:00:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_4329,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,4.91,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00096610,Sample-Routine,Water,,2007-04-18,11:12:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3934,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,9.76,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00096616,Sample-Routine,Water,,2007-06-18,12:17:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3934,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,7.63,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00097628,Sample-Routine,Water,,2007-04-04,12:48:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_4329,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,6.45,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00096628,Sample-Routine,Water,,2007-09-10,11:53:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3934,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,8.24,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00098717,Sample-Routine,Water,,2007-09-24,12:35:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3945,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,7.41,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00095128,Sample-Routine,Water,,2007-09-10,11:39:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3891,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,8.91,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00095110,Sample-Routine,Water,,2007-04-18,10:10:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3891,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,9.92,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00095136,Sample-Routine,Water,,2007-11-15,12:13:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3891,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,9.2,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00097631,Sample-Routine,Water,,2007-04-18,11:36:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_4329,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,9.57,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00098701,Sample-Routine,Water,,2007-06-18,13:18:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3945,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,6.92,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00097637,Sample-Routine,Water,,2007-06-18,12:44:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_4329,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,6.51,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00095134,Sample-Routine,Water,,2007-10-09,11:30:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3891,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,9.61,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00098697,Sample-Routine,Water,,2007-04-24,12:15:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3945,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,7.61,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00098721,Sample-Routine,Water,,2007-11-15,14:13:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3945,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,8.82,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00095122,Sample-Routine,Water,,2007-08-27,10:40:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3891,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,7.07,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00096620,Sample-Routine,Water,,2007-08-13,11:47:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3934,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,7.59,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00098715,Sample-Routine,Water,,2007-09-20,12:05:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3945,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,7.68,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00095132,Sample-Routine,Water,,2007-09-24,11:23:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3891,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,8.96,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00298297,Field Msr/Obs,Water,,2014-05-15,14:05:00,EDT,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3934,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,9.16,mg/L,,Final,,Actual,,,,,,,,,,,,,4500-O-G,APHA,4500 O G ~ Total Dissolved Oxygen by Membrane Electrode Method,https://www.nemi.gov/methods/method_summary/9812/,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00298593,Field Msr/Obs,Water,,2014-08-04,14:20:00,EDT,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3960,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,7.21,mg/L,,Final,,Actual,,,,,,,,,,,,,4500-O-G,APHA,4500 O G ~ Total Dissolved Oxygen by Membrane Electrode Method,https://www.nemi.gov/methods/method_summary/9812/,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00298381,Field Msr/Obs,Water,,2014-06-12,15:55:00,EDT,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_4329,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,6.7,mg/L,,Final,,Actual,,,,,,,,,,,,,4500-O-G,APHA,4500 O G ~ Total Dissolved Oxygen by Membrane Electrode Method,https://www.nemi.gov/methods/method_summary/9812/,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00298180,Field Msr/Obs,Water,,2014-03-03,15:35:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3945,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),Not Reported,Dissolved oxygen (DO),Dissolved,,mg/L,,Final,,Actual,,,,,,DO probe misbehaving,,,,,,,4500-O-G,APHA,4500 O G ~ Total Dissolved Oxygen by Membrane Electrode Method,https://www.nemi.gov/methods/method_summary/9812/,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00298045,Field Msr/Obs,Water,,2014-02-24,16:10:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3945,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,9.27,mg/L,,Final,,Actual,,,,,,,,,,,,,4500-O-G,APHA,4500 O G ~ Total Dissolved Oxygen by Membrane Electrode Method,https://www.nemi.gov/methods/method_summary/9812/,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00298856,Field Msr/Obs,Water,,2014-12-18,13:30:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3891,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,9.99,mg/L,,Final,,Actual,,,,,,,,,,,,,4500-O-G,APHA,4500 O G ~ Total Dissolved Oxygen by Membrane Electrode Method,https://www.nemi.gov/methods/method_summary/9812/,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00298858,Field Msr/Obs,Water,,2014-12-18,14:35:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3934,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,10.56,mg/L,,Final,,Actual,,,,,,,,,,,,,4500-O-G,APHA,4500 O G ~ Total Dissolved Oxygen by Membrane Electrode Method,https://www.nemi.gov/methods/method_summary/9812/,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00298326,Field Msr/Obs,Water,,2014-05-28,15:35:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_4329,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,7.53,mg/L,,Final,,Actual,,,,,,,,,,,,,4500-O-G,APHA,4500 O G ~ Total Dissolved Oxygen by Membrane Electrode Method,https://www.nemi.gov/methods/method_summary/9812/,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00298042,Field Msr/Obs,Water,,2014-02-24,14:50:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3934,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,9.53,mg/L,,Final,,Actual,,,,,,,,,,,,,4500-O-G,APHA,4500 O G ~ Total Dissolved Oxygen by Membrane Electrode Method,https://www.nemi.gov/methods/method_summary/9812/,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00298372,Field Msr/Obs,Water,,2014-06-12,14:20:00,EDT,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3891,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,9.96,mg/L,,Final,,Actual,,,,,,,,,,,,,4500-O-G,APHA,4500 O G ~ Total Dissolved Oxygen by Membrane Electrode Method,https://www.nemi.gov/methods/method_summary/9812/,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00298232,Field Msr/Obs,Water,,2014-04-17,14:50:00,EDT,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_4329,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,8.61,mg/L,,Final,,Actual,,,,,,,,,,,,,4500-O-G,APHA,4500 O G ~ Total Dissolved Oxygen by Membrane Electrode Method,https://www.nemi.gov/methods/method_summary/9812/,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00298797,Field Msr/Obs,Water,,2014-11-24,16:10:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3960,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,9.25,mg/L,,Final,,Actual,,,,,,,,,,,,,4500-O-G,APHA,4500 O G ~ Total Dissolved Oxygen by Membrane Electrode Method,https://www.nemi.gov/methods/method_summary/9812/,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00298646,Field Msr/Obs,Water,,2014-09-22,16:55:00,EDT,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3945,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,7.72,mg/L,,Final,,Actual,,,,,,,,,,,,,1002-8-2009,USEPA,Dissolved Oxygen (DO) Measurement by Optical Probe,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00298084,Field Msr/Obs,Water,,2014-02-27,15:50:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3945,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,10.03,mg/L,,Final,,Actual,,,,,,,,,,,,,4500-O-G,APHA,4500 O G ~ Total Dissolved Oxygen by Membrane Electrode Method,https://www.nemi.gov/methods/method_summary/9812/,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00298317,Field Msr/Obs,Water,,2014-05-28,14:40:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3891,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,9.9,mg/L,,Final,,Actual,,,,,,,,,,,,,4500-O-G,APHA,4500 O G ~ Total Dissolved Oxygen by Membrane Electrode Method,https://www.nemi.gov/methods/method_summary/9812/,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00298131,Field Msr/Obs,Water,,2014-03-25,15:00:00,EDT,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3934,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,10.74,mg/L,,Final,,Actual,,,,,,,,,,,,,4500-O-G,APHA,4500 O G ~ Total Dissolved Oxygen by Membrane Electrode Method,https://www.nemi.gov/methods/method_summary/9812/,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00298301,Field Msr/Obs,Water,,2014-05-15,16:00:00,EDT,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3960,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,6.68,mg/L,,Final,,Actual,,,,,,,,,,,,,4500-O-G,APHA,4500 O G ~ Total Dissolved Oxygen by Membrane Electrode Method,https://www.nemi.gov/methods/method_summary/9812/,,,,,,,,STORET
